title,categories,keywords
how expensive is it to watch the entire pokemon anime legally?,gaming;entertainment|television program;film and animation|television program,"most expensive pokemon card,most expensive pokemon cards,the words most expensive pokemon card,why are pokemon games so expensive,pokemon videos,pokemon short video,pokemon shorts funny,worst pokemon games,pokemon investor,pokemon investing,pokemon movie,pokemon unite,pokemon booster pack,pokemon,pokemon shorts attitude,cheap vs expensive,expensive vs cheap,pokemon discussion,pokemon shorts song,pokemon new episode,pokemon love,pokemon song"
flightreacts 7 riddles that will test your brain power!,education;gaming;people and blogs|vlog,"best build,nba 2k21 best archetype,nba 2k21 mycareer,nba 2k21 mypark,nba 2k21 top rep,best jumpshot 2k21,nba 2k21 stretch big gameplay story pranks irl family fun kids,nba 2k21,nba 2k21 my team,nba 2k,basketball,sports,education"
the hunt for the youtuber that raised me,film and animation;gaming|video game culture;entertainment|internet culture,"plushtubing,gaming,lostmedia,lost media,marioluigiplushbros,2000s nostalgia,sml,super mario logan,mario bros,nintendo,wind waker,smash bros melee,melee,youtubing,home videos,nostalgia,childhood,crazymariobros,awesomemariobros,supermariorichie,monkey man,3d,blender,3d animated"
i made kids gamble (for science),entertainment;science and technology;news and politics|society,"royalpear,royalpear twitch,tropius,shorts,pear shorts,tropius shorts,tiktok,royalpear shorts,royalpear tier list,tier list shorts,tier list,shorts wars,shorts arg,royalmelon,royalpearl,fortnite,pokemon,pokemon card,pear"
when the internet elected obama,"comedy;news and politics|politics,society;entertainment|internet culture","history,comedy,boon,boone,boonu,allhailboon,allhailboone,allhailgoon,booneuniversity,obama,president,election,mccain"
the 2008 financial crisis in 13 minutes,"people and blogs;news and politics|society,politics|history","2008 financial crisis,2008 crash,great recession,housing bubble,subprime mortgage crisis,lehman brothers collapse,wall street crash,mortgage backed securities,credit default swaps,cdos explained,economic crash documentary,too big to fail,tarp bailout,bank bailout,financial history,economics explained,finance documentary,global financial crisis"
the hardest part in every zelda game,"gaming|video game culture,analysis","the legend of zelda,hard zelda,hardest zelda game,hardest zelda dungeon,hardest zelda enemy,zelda difficult,zelda challenge,hardest zelda bosses,tears of the kingdom hard,breath of the wild,wind waker,ocarina of time,four swords,oracle of ages,oracle of seasons,goron dance,blue wizzrobe,link's awakening,moldorm,gloom hands,link to the past,twilight princess,skyward sword,temple of the ocean king,2 months dude"
nintendo games that got worse after updates,"gaming|video game culture,analysis","nintendo updates,nintendo controversy,mario kart world,mario kart 1.1.2,mario kart random,mario kart intermission,mario kart controversy,mario kart world update,mario kart world dead,smash bros,smash for wii u,smash bayonetta,bayonetta broken,smash 4 bayonetta,smash 4 cloud,animal crossing new horizons,swimming update,duping glitch,totk,totk duping,duping patched,pokemon,mario 35,the left arm chronicle continues fam,nintendo updates worse"
great nintendo games with one fatal flaw,"gaming|video game culture,analysis","bad nintendo games,kid icarus uprising,metroid other m,mario lost levels,mario bros 2,super mario bros 2 usa,doki doki panic,donkey kong 64,donkey kong banaza,so hard to type... one thumb,paper mario sticker star,worst nintendo games,nintendo flaws,nintendo controversy,been like 30 videos and still the same tags,fire emblem shadow dragon,gaiden chapters,mario party 9"
"anti-piracy: the fake, the creepy, and the downright malicious | tech rules","gaming|video game culture,analysis;science and technology|technology","anti-piracy screen,copy protection,mario party ds anti piracy screen,debunking,five nights at freddy's,cuphead,drm,starforce,every copy of mario 64 is personalized,puyo puyo,earthbound,gta 4,error screen,pokemon fire red,ace attorney,datamine,anti cheat"
how a terrible game cracked the 3ds's security - early days of 3ds hacking,"gaming|video game culture,analysis;science and technology|technology","tech rules,documentary,yifanlu,ninjhax,smealum,homebrew"
how a pair of tweezers defeated security on the nintendo wii | mvg,"gaming|video game culture,analysis;science and technology|technology","nintendo,wii,team twiizers,fail0verflow,tmbinc,bushing,marcan,michael steil,modding,hacking,wii homebrew channel,linux,mvg,modern vintage gamer,mistakes were made,play nintendo,legend of zelda,twilight princess,twilight hack,nintendo wii,nintendo wii games,wii games,wii nintendo,gaming"
how the nintendo switch security was defeated,"gaming|video game culture,analysis;science and technology|technology","switch,nintendo,nintendo switch,nx,nvidia,tegra x1,security,hacking,nintendo switch security,defeated,mvg,modern vintage gamer,exploits,fusee gelee,failoverflow,shofel2,nintendo switch oled,nintendo switch lite,mariko,aula,switch lite,redbox switch"
why sunnyv2 was forced to leave youtube,people and blogs,"comedy,shorts,funny,documentary,mini doc,storytelling,video essay,trending,viral,tiktok,youtube"
the kissing booth is netflix's worst romance movie,comedy;film and animation|film;review;entertainment|film,"danny gonzalez,funny,commentary,comedy,react,reaction,reacting,awful,humor"
musicians keep being embarrassing on stage,people and blogs;entertainment|music;music,"danny gonzalez,dannygonzalez,funny,skit,vine comedy,vines"
"the office has a sequel, for some reason","comedy;film and animation|television program,review;entertainment|television program","drew gooden,comedy,commentary,reaction,vine,drew gooden vine,road work ahead guy,parody,rant,cringe"
"did these 1998 ""y2k survival"" products actually do anything?",entertainment;history;news and politics|society,"evan clue,planet clue,kkclue,kk clue,kaykay,y2k,toys,games,media,clue.media"
watch this if you can't sleep...,entertainment;education;how to and style|lifestyle,"burdie,tommynfg,degenerocity,the duck,javeus,chainsfr,tokemon,raody,how to fall asleep,best ways to fall asleep,watch this video if you can't sleep"
dumb tiktok trends that got people killed,people and blogs;entertainment|internet culture;history,"comedy,shorts,funny,documentary,mini doc,storytelling,video essay,trending,viral,tiktok,youtube"
"why the us military bought 1,760 ps3s",entertainment;gaming|video game culture;science and technology|technology;news and politics|politics,"technology,ps3,supercomputer"
everything wrong with factor,"entertainment;food;how to and style|lifestyle,food","factor,factor meals,factor meals review,factor meal delivery,factor meals scam,factor75,meal delivery services,meal kits,food industry,food business,subscription services,hellofresh,meal kit industry,factor meals too expensive,factor review,business failure,marketing failure,failed business,business case study,marketing disaster,brand failure,corporate greed,business breakdown,product review,everyplate,meal prep"
i tried food from every state in america,"how to and style|lifestyle,food;entertainment;travel and events|lifestyle,food","sat bawl pro,joshua weissman,american food,american food reaction,america,best food in every state,food,every state food,food in america,fast food from every state,state food,best food in every state reaction,tier list,airrack,fast food,usa top foods,food in every state,california food,texas food,us food,new york food,nyc food,nyc pizza,texas barbecue,weird american food,american fast food,burger recipe,best american foods,food ranked,burger"
cheap vs expensive foods!,"how to and style|lifestyle,food;entertainment;travel and events|lifestyle,food","cheap vs expensive taste test,expensive vs cheap food,blind taste test,wagyu steak taste test,steak vs wagyu,wagyu burger vs fast food,cheap burger vs expensive burger,coffee taste test,cheap coffee vs expensive coffee,gummy bear taste test,candy taste test,gourmet vs budget food,food challenge,blind food tasting,gourmet vs fast food,luxury vs cheap eats,viral food challenge,taste test reaction,steak taste test"
i tried “food” from facebook marketplace,"how to and style|lifestyle,food;entertainment;travel and events|lifestyle,food","dylan,food,restaurants,facebook marketplace,fb marketplace,facebook marketplace food"
i bought more rare mario plushies! (color me mario),gaming|video game culture;entertainment;how to and style|hobby,"nintendo,rare nintendo,rare nintendo plush,color me mario,color me mario yoshi,color me mario peach,alps nurinko shoji company,moldy mario,nintendo collection,rare nintendo items,super mario,mario,yoshi,princess peach,super mario world,snes,super nintendo,yoshis island,super mario world plush,super mario bros plush,super mario rpg,nintendo 90s,nintendo japan,japan nintendo"
nintendo's greatest feature: ds download play,gaming|video game culture;science and technology|technology,"nintendo,nintendo switch,nintendo wii,nintendo 3ds,nintendo games,super mario,legend of zelda,pokemon,kirby,donkey kong,starfox,yoshi,luigi,nintendo ds,ds download play,nintendo ds download,nintendo ds multiplayer,nintendo wifi,switch,nintendo direct,nintendo switch"
what happened to nintendo's streetpass mii plaza?,"gaming|video game culture,knowledge,analysis;history","streetpass,nintendo 3ds,nintendo,streetpass mii plaza,3ds,ds,dsi,dsi xl,2ds,2ds xl,nintendo wii,nintendo wii u,3ds music,streetpass music,new 3ds,3ds xl,reggie fils-aime,satoru iwata,shigeru miyamoto,animal crossing new leaf,mario kart 7,nintendogs,nintendogs + cats"
modding your 3ds is the best decision you can make...,gaming|video game culture;science and technology|technology,"nintendo,nintendo 3ds,nintendo wii u,nintendo eshop,nintendo closed,nintendo shut down,nintendo 2024,3ds eshop,wii u eshop,nintendo news,modding 3ds,3ds modding,wii u modding,modding wii u,nintendo mods,nintendo 3ds xl,nintendo 3ds games,super mario 3d land,hshop,hshop 3ds,3ds.hacks.guide,nintendo switch,nintendo switch news,nintendo 3ds"
this disc allowed you to watch netflix on the wii!,"gaming|video game culture,knowledge;science and technology|technology","nintendo,nintendo switch,nintendo wii,nintendo 3ds,nintendo games,nintendo 2022,super mario,legend of zelda,pokemon,kirby,donkey kong,starfox,yoshi,luigi,wii u,nintendo 2021,nintendo switch,nintendo direct,nintendo switch oled,wii,netflix,wii netflix,obscure nintendo,nintendo wii disc,wii channel,wii shop channel,wii shop theme"
what happened to nintendo's selects?,"gaming|video game culture,knowledge","nintendo,nintendo switch,nintendo wii,nintendo 3ds,nintendo games,nintendo 2022,super mario,legend of zelda,pokemon,kirby,donkey kong,starfox,yoshi,luigi,wii u,nintendo 2021"
i tested airports after midnight,"entertainment;travel and events|tourism,lifestyle","sambucha,sambuca,airport,airports,jfk,travel,fun,chime,midnight,ewr"
3ds into (essentially) a walkman mp3,gaming|video game culture;science and technology|technology,"3dprinting,3dprint,bambulab,nintendo,nintendo3ds,3dsxl,new3dsxl,retrogaming,handheldgaming,frutigeraero,y2k,y2kaesthetic,sony,sonywalkman,retroaesthetic,tech,techlover,nostalgia,cooltech,foryoupage,viral,trending,trend,videogames,gamingvideos,nintendolife,portablegaming,techcollector,vintagegaming,walkman,cassetteculture,aesthetic,gamingaesthetic,oldschoolcool"
why did the 2000s look like that?,people and blogs;news and politics|society,"2000s nostalgia,2000s aesthetic,90s aesthetic,90s nostalgia,y2k,cybercore,chromecore,mcbling,y2kfashion,y2k aesthetic,metalheart,genxsoftclub,2k1,explained,deep dive,iceberg,vintage,retro,frutigeraero,frutiger aero"
how marvel used to write humor,"film and animation|film,analysis;entertainment|film","marvel,marvel movies,mcu,mcu review,marvel phase 4,ironheart,avengers,the avengers,best avengers movie,avengers movies,iron man,thor,captain america,the mcu review,movies to watch,video essay"
"every clue that tony stark was always dr. doom - marvel's plan, revealed","film and animation|film,analysis;entertainment|film","screencrush,heavy spoilers,new rockstars,dr doom,marvel studios,doctor doom,robert downey jr,fantastic four,avengers doomsday,rdj doctor doom,iron man,marvel comics,avengers doomsday trailer,cosmic wonder,doctor doom explained,marvel entertainment,marvel leaks,victor von doom,doctor dooms fearfall orlando,doctor doom post credit scene,doctor doom vs thanos,doctor doom reveal,doctor doom fantastic four"
